Invoice,StockCode,Description,Quantity,InvoiceDate,Price,CustomerID,Country,Email,ProductExpiryDate,invoice,stock_code,description,quantity,invoice_date,price,country,email,product_expiry_date,customer_id,is_cancelled,revenue
540425,84879,ASSORTED COLOUR BIRD ORNAMENT,42,2011-01-08 14:56:00,1.77,10030,United Kingdom,customer_10030@example.com,2011-08-15,540425,84879,ASSORTED COLOUR BIRD ORNAMENT,42,2011-01-08 14:56:00,1.77,United Kingdom,customer_10030@example.com,2011-08-15,10030,False,74.34
540358,21754,HOME BUILDING BLOCK WORD,11,2011-01-09 09:57:00,5.95,10022,United Kingdom,customer_10022@example.com,,540358,21754,HOME BUILDING BLOCK WORD,11,2011-01-09 09:57:00,5.95,United Kingdom,customer_10022@example.com,,10022,False,65.45
540358,22197,POPCORN HOLDER,39,2011-01-09 09:57:00,0.81,10022,United Kingdom,customer_10022@example.com,2011-07-10,540358,22197,POPCORN HOLDER,39,2011-01-09 09:57:00,0.81,United Kingdom,customer_10022@example.com,2011-07-10,10022,False,31.590000000000003
540358,20728,LUNCH BAG CARS BLUE,48,2011-01-09 09:57:00,1.48,10022,United Kingdom,customer_10022@example.com,2011-08-01,540358,20728,LUNCH BAG CARS BLUE,48,2011-01-09 09:57:00,1.48,United Kingdom,customer_10022@example.com,2011-08-01,10022,False,71.03999999999999
540358,47566,PARTY BUNTING,46,2011-01-09 09:57:00,5.45,10022,United Kingdom,customer_10022@example.com,,540358,47566,PARTY BUNTING,46,2011-01-09 09:57:00,5.45,United Kingdom,customer_10022@example.com,,10022,False,250.70000000000002
540358,22423,REGENCY CAKESTAND 3 TIER,44,2011-01-09 09:57:00,13.39,10022,United Kingdom,customer_10022@example.com,,540358,22423,REGENCY CAKESTAND 3 TIER,44,2011-01-09 09:57:00,13.39,United Kingdom,customer_10022@example.com,,10022,False,589.1600000000001
540055,82482,WOODEN PICTURE FRAME WHITE FINISH,26,2011-01-09 10:54:00,2.68,10004,United Kingdom,customer_10004@example.com,,540055,82482,WOODEN PICTURE FRAME WHITE FINISH,26,2011-01-09 10:54:00,2.68,United Kingdom,customer_10004@example.com,,10004,False,69.68
540055,21931,JUMBO STORAGE BAG SUKI,45,2011-01-09 10:54:00,1.87,10004,United Kingdom,customer_10004@example.com,,540055,21931,JUMBO STORAGE BAG SUKI,45,2011-01-09 10:54:00,1.87,United Kingdom,customer_10004@example.com,,10004,False,84.15
540055,22699,ROSES REGENCY TEACUP AND SAUCER,40,2011-01-09 10:54:00,3.1,10004,United Kingdom,customer_10004@example.com,,540055,22699,ROSES REGENCY TEACUP AND SAUCER,40,2011-01-09 10:54:00,3.1,United Kingdom,customer_10004@example.com,,10004,False,124.0
540359,22961,JAM MAKING SET PRINTED,22,2011-01-10 16:55:00,1.59,10022,United Kingdom,customer_10022@example.com,2011-08-25,540359,22961,JAM MAKING SET PRINTED,22,2011-01-10 16:55:00,1.59,United Kingdom,customer_10022@example.com,2011-08-25,10022,False,34.980000000000004
540359,47566,PARTY BUNTING,15,2011-01-10 16:55:00,5.45,10022,United Kingdom,customer_10022@example.com,,540359,47566,PARTY BUNTING,15,2011-01-10 16:55:00,5.45,United Kingdom,customer_10022@example.com,,10022,False,81.75
540359,20727,LUNCH BAG BLACK SKULL.,17,2011-01-10 16:55:00,1.81,10022,United Kingdom,customer_10022@example.com,2011-08-05,540359,20727,LUNCH BAG BLACK SKULL.,17,2011-01-10 16:55:00,1.81,United Kingdom,customer_10022@example.com,2011-08-05,10022,False,30.77
540359,21733,RED HANGING HEART T-LIGHT HOLDER,48,2011-01-10 16:55:00,3.25,10022,United Kingdom,customer_10022@example.com,2011-07-22,540359,21733,RED HANGING HEART T-LIGHT HOLDER,48,2011-01-10 16:55:00,3.25,United Kingdom,customer_10022@example.com,2011-07-22,10022,False,156.0
540419,22698,PINK REGENCY TEACUP AND SAUCER,40,2011-01-11 09:52:00,2.8,10029,Germany,customer_10029@example.com,,540419,22698,PINK REGENCY TEACUP AND SAUCER,40,2011-01-11 09:52:00,2.8,Germany,customer_10029@example.com,,10029,False,112.0
540419,22423,REGENCY CAKESTAND 3 TIER,12,2011-01-11 09:52:00,11.47,10029,Germany,customer_10029@example.com,,540419,22423,REGENCY CAKESTAND 3 TIER,12,2011-01-11 09:52:00,11.47,Germany,customer_10029@example.com,,10029,False,137.64000000000001
540419,22138,BAKING SET 9 PIECE RETROSPOT,39,2011-01-11 09:52:00,4.7,10029,Germany,customer_10029@example.com,2011-08-10,540419,22138,BAKING SET 9 PIECE RETROSPOT,39,2011-01-11 09:52:00,4.7,Germany,customer_10029@example.com,2011-08-10,10029,False,183.3
540419,20728,LUNCH BAG CARS BLUE,10,2011-01-11 09:52:00,1.65,10029,Germany,customer_10029@example.com,2011-08-01,540419,20728,LUNCH BAG CARS BLUE,10,2011-01-11 09:52:00,1.65,Germany,customer_10029@example.com,2011-08-01,10029,False,16.5
540419,84879,ASSORTED COLOUR BIRD ORNAMENT,18,2011-01-11 09:52:00,1.77,10029,Germany,customer_10029@example.com,2011-08-15,540419,84879,ASSORTED COLOUR BIRD ORNAMENT,18,2011-01-11 09:52:00,1.77,Germany,customer_10029@example.com,2011-08-15,10029,False,31.86
540327,20727,LUNCH BAG BLACK SKULL.,24,2011-01-11 10:39:00,1.81,10019,United Kingdom,customer_10019@example.com,2011-08-05,540327,20727,LUNCH BAG BLACK SKULL.,24,2011-01-11 10:39:00,1.81,United Kingdom,customer_10019@example.com,2011-08-05,10019,False,43.44
540327,82482,WOODEN PICTURE FRAME WHITE FINISH,21,2011-01-11 10:39:00,2.68,10019,United Kingdom,customer_10019@example.com,,540327,82482,WOODEN PICTURE FRAME WHITE FINISH,21,2011-01-11 10:39:00,2.68,United Kingdom,customer_10019@example.com,,10019,False,56.28
540327,22698,PINK REGENCY TEACUP AND SAUCER,30,2011-01-11 10:39:00,2.66,10019,United Kingdom,customer_10019@example.com,,540327,22698,PINK REGENCY TEACUP AND SAUCER,30,2011-01-11 10:39:00,2.66,United Kingdom,customer_10019@example.com,,10019,False,79.80000000000001
540327,21931,JUMBO STORAGE BAG SUKI,41,2011-01-11 10:39:00,2.08,10019,United Kingdom,customer_10019@example.com,,540327,21931,JUMBO STORAGE BAG SUKI,41,2011-01-11 10:39:00,2.08,United Kingdom,customer_10019@example.com,,10019,False,85.28
540327,22086,PAPER CHAIN KIT 50'S CHRISTMAS,32,2011-01-11 10:39:00,3.1,10019,United Kingdom,customer_10019@example.com,,540327,22086,PAPER CHAIN KIT 50'S CHRISTMAS,32,2011-01-11 10:39:00,3.1,United Kingdom,customer_10019@example.com,,10019,False,99.2
540316,20727,LUNCH BAG BLACK SKULL.,11,2011-01-11 12:21:00,1.57,10018,France,customer_10018@example.com,2011-08-05,540316,20727,LUNCH BAG BLACK SKULL.,11,2011-01-11 12:21:00,1.57,France,customer_10018@example.com,2011-08-05,10018,False,17.27
540316,22138,BAKING SET 9 PIECE RETROSPOT,31,2011-01-11 12:21:00,5.2,10018,France,customer_10018@example.com,2011-08-10,540316,22138,BAKING SET 9 PIECE RETROSPOT,31,2011-01-11 12:21:00,5.2,France,customer_10018@example.com,2011-08-10,10018,False,161.20000000000002
540316,22423,REGENCY CAKESTAND 3 TIER,47,2011-01-11 12:21:00,14.03,10018,France,customer_10018@example.com,,540316,22423,REGENCY CAKESTAND 3 TIER,47,2011-01-11 12:21:00,14.03,France,customer_10018@example.com,,10018,False,659.41
540696,21733,RED HANGING HEART T-LIGHT HOLDER,1,2011-01-12 16:11:00,3.1,10094,United Kingdom,customer_10094@example.com,2011-07-22,540696,21733,RED HANGING HEART T-LIGHT HOLDER,1,2011-01-12 16:11:00,3.1,United Kingdom,customer_10094@example.com,2011-07-22,10094,False,3.1
540405,20728,LUNCH BAG CARS BLUE,36,2011-01-13 10:53:00,1.81,10027,United Kingdom,customer_10027@example.com,2011-08-01,540405,20728,LUNCH BAG CARS BLUE,36,2011-01-13 10:53:00,1.81,United Kingdom,customer_10027@example.com,2011-08-01,10027,False,65.16
540405,22423,REGENCY CAKESTAND 3 TIER,10,2011-01-13 10:53:00,13.39,10027,United Kingdom,customer_10027@example.com,,540405,22423,REGENCY CAKESTAND 3 TIER,10,2011-01-13 10:53:00,13.39,United Kingdom,customer_10027@example.com,,10027,False,133.9
540228,21754,HOME BUILDING BLOCK WORD,43,2011-01-13 13:05:00,6.25,10013,United Kingdom,customer_10013@example.com,,540228,21754,HOME BUILDING BLOCK WORD,43,2011-01-13 13:05:00,6.25,United Kingdom,customer_10013@example.com,,10013,False,268.75
540228,84879,ASSORTED COLOUR BIRD ORNAMENT,15,2011-01-13 13:05:00,1.61,10013,United Kingdom,customer_10013@example.com,2011-08-15,540228,84879,ASSORTED COLOUR BIRD ORNAMENT,15,2011-01-13 13:05:00,1.61,United Kingdom,customer_10013@example.com,2011-08-15,10013,False,24.150000000000002
540228,22138,BAKING SET 9 PIECE RETROSPOT,26,2011-01-13 13:05:00,5.45,10013,United Kingdom,customer_10013@example.com,2011-08-10,540228,22138,BAKING SET 9 PIECE RETROSPOT,26,2011-01-13 13:05:00,5.45,United Kingdom,customer_10013@example.com,2011-08-10,10013,False,141.70000000000002
540249,22960,JAM MAKING SET WITH JARS,36,2011-01-13 17:50:00,4.25,10014,United Kingdom,customer_10014@example.com,2011-08-30,540249,22960,JAM MAKING SET WITH JARS,36,2011-01-13 17:50:00,4.25,United Kingdom,customer_10014@example.com,2011-08-30,10014,False,153.0
540229,22423,REGENCY CAKESTAND 3 TIER,9,2011-01-14 10:19:00,14.03,10013,United Kingdom,customer_10013@example.com,,540229,22423,REGENCY CAKESTAND 3 TIER,9,2011-01-14 10:19:00,14.03,United Kingdom,customer_10013@example.com,,10013,False,126.27
540229,20727,LUNCH BAG BLACK SKULL.,45,2011-01-14 10:19:00,1.73,10013,United Kingdom,customer_10013@example.com,2011-08-05,540229,20727,LUNCH BAG BLACK SKULL.,45,2011-01-14 10:19:00,1.73,United Kingdom,customer_10013@example.com,2011-08-05,10013,False,77.85
540229,82482,WOODEN PICTURE FRAME WHITE FINISH,13,2011-01-14 10:19:00,2.68,10013,United Kingdom,customer_10013@example.com,,540229,82482,WOODEN PICTURE FRAME WHITE FINISH,13,2011-01-14 10:19:00,2.68,United Kingdom,customer_10013@example.com,,10013,False,34.84
540229,22698,PINK REGENCY TEACUP AND SAUCER,11,2011-01-14 10:19:00,2.8,10013,United Kingdom,customer_10013@example.com,,540229,22698,PINK REGENCY TEACUP AND SAUCER,11,2011-01-14 10:19:00,2.8,United Kingdom,customer_10013@example.com,,10013,False,30.799999999999997
540328,22666,RECIPE BOX PANTRY DESIGN,18,2011-01-14 13:12:00,2.8,10019,United Kingdom,customer_10019@example.com,,540328,22666,RECIPE BOX PANTRY DESIGN,18,2011-01-14 13:12:00,2.8,United Kingdom,customer_10019@example.com,,10019,False,50.4
540328,21733,RED HANGING HEART T-LIGHT HOLDER,34,2011-01-14 13:12:00,2.95,10019,United Kingdom,customer_10019@example.com,2011-07-22,540328,21733,RED HANGING HEART T-LIGHT HOLDER,34,2011-01-14 13:12:00,2.95,United Kingdom,customer_10019@example.com,2011-07-22,10019,False,100.30000000000001
540328,22178,VICTORIAN GLASS HANGING T-LIGHT,44,2011-01-14 13:12:00,1.38,10019,United Kingdom,customer_10019@example.com,2011-07-28,540328,22178,VICTORIAN GLASS HANGING T-LIGHT,44,2011-01-14 13:12:00,1.38,United Kingdom,customer_10019@example.com,2011-07-28,10019,False,60.72
540328,20727,LUNCH BAG BLACK SKULL.,10,2011-01-14 13:12:00,1.57,10019,United Kingdom,customer_10019@example.com,2011-08-05,540328,20727,LUNCH BAG BLACK SKULL.,10,2011-01-14 13:12:00,1.57,United Kingdom,customer_10019@example.com,2011-08-05,10019,False,15.700000000000001
540328,82482,WOODEN PICTURE FRAME WHITE FINISH,43,2011-01-14 13:12:00,2.55,10019,United Kingdom,customer_10019@example.com,,540328,82482,WOODEN PICTURE FRAME WHITE FINISH,43,2011-01-14 13:12:00,2.55,United Kingdom,customer_10019@example.com,,10019,False,109.64999999999999
540307,21034,REX CASH+CARRY JUMBO SHOPPER,37,2011-01-15 10:18:00,0.85,10017,United Kingdom,customer_10017@example.com,,540307,21034,REX CASH+CARRY JUMBO SHOPPER,37,2011-01-15 10:18:00,0.85,United Kingdom,customer_10017@example.com,,10017,False,31.45
540274,21034,REX CASH+CARRY JUMBO SHOPPER,40,2011-01-15 10:36:00,0.95,10015,United Kingdom,customer_10015@example.com,,540274,21034,REX CASH+CARRY JUMBO SHOPPER,40,2011-01-15 10:36:00,0.95,United Kingdom,customer_10015@example.com,,10015,False,38.0
540697,22698,PINK REGENCY TEACUP AND SAUCER,10,2011-01-15 13:20:00,3.1,10094,United Kingdom,customer_10094@example.com,,540697,22698,PINK REGENCY TEACUP AND SAUCER,10,2011-01-15 13:20:00,3.1,United Kingdom,customer_10094@example.com,,10094,False,31.0
540697,22666,RECIPE BOX PANTRY DESIGN,6,2011-01-15 13:20:00,2.95,10094,United Kingdom,customer_10094@example.com,,540697,22666,RECIPE BOX PANTRY DESIGN,6,2011-01-15 13:20:00,2.95,United Kingdom,customer_10094@example.com,,10094,False,17.700000000000003
540697,22178,VICTORIAN GLASS HANGING T-LIGHT,4,2011-01-15 13:20:00,1.19,10094,United Kingdom,customer_10094@example.com,2011-07-28,540697,22178,VICTORIAN GLASS HANGING T-LIGHT,4,2011-01-15 13:20:00,1.19,United Kingdom,customer_10094@example.com,2011-07-28,10094,False,4.76
540297,47566,PARTY BUNTING,11,2011-01-15 16:17:00,5.2,10016,United Kingdom,customer_10016@example.com,,540297,47566,PARTY BUNTING,11,2011-01-15 16:17:00,5.2,United Kingdom,customer_10016@example.com,,10016,False,57.2
540297,22178,VICTORIAN GLASS HANGING T-LIGHT,16,2011-01-15 16:17:00,1.38,10016,United Kingdom,customer_10016@example.com,2011-07-28,540297,22178,VICTORIAN GLASS HANGING T-LIGHT,16,2011-01-15 16:17:00,1.38,United Kingdom,customer_10016@example.com,2011-07-28,10016,False,22.08
540678,21931,JUMBO STORAGE BAG SUKI,1,2011-01-15 16:48:00,2.18,10084,Germany,customer_10084@example.com,,540678,21931,JUMBO STORAGE BAG SUKI,1,2011-01-15 16:48:00,2.18,Germany,customer_10084@example.com,,10084,False,2.18
540426,21034,REX CASH+CARRY JUMBO SHOPPER,28,2011-01-16 10:38:00,0.95,10030,United Kingdom,customer_10030@example.com,,540426,21034,REX CASH+CARRY JUMBO SHOPPER,28,2011-01-16 10:38:00,0.95,United Kingdom,customer_10030@example.com,,10030,False,26.599999999999998
540426,22423,REGENCY CAKESTAND 3 TIER,30,2011-01-16 10:38:00,14.03,10030,United Kingdom,customer_10030@example.com,,540426,22423,REGENCY CAKESTAND 3 TIER,30,2011-01-16 10:38:00,14.03,United Kingdom,customer_10030@example.com,,10030,False,420.9
540426,22698,PINK REGENCY TEACUP AND SAUCER,9,2011-01-16 10:38:00,2.66,10030,United Kingdom,customer_10030@example.com,,540426,22698,PINK REGENCY TEACUP AND SAUCER,9,2011-01-16 10:38:00,2.66,United Kingdom,customer_10030@example.com,,10030,False,23.94
540361,47566,PARTY BUNTING,45,2011-01-16 11:38:00,5.2,10022,United Kingdom,customer_10022@example.com,,540361,47566,PARTY BUNTING,45,2011-01-16 11:38:00,5.2,United Kingdom,customer_10022@example.com,,10022,False,234.0
540360,20727,LUNCH BAG BLACK SKULL.,38,2011-01-16 14:59:00,1.81,10022,United Kingdom,customer_10022@example.com,2011-08-05,540360,20727,LUNCH BAG BLACK SKULL.,38,2011-01-16 14:59:00,1.81,United Kingdom,customer_10022@example.com,2011-08-05,10022,False,68.78
540360,84879,ASSORTED COLOUR BIRD ORNAMENT,18,2011-01-16 14:59:00,1.52,10022,United Kingdom,customer_10022@example.com,2011-08-15,540360,84879,ASSORTED COLOUR BIRD ORNAMENT,18,2011-01-16 14:59:00,1.52,United Kingdom,customer_10022@example.com,2011-08-15,10022,False,27.36
540360,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,30,2011-01-16 14:59:00,2.18,10022,United Kingdom,customer_10022@example.com,,540360,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,30,2011-01-16 14:59:00,2.18,United Kingdom,customer_10022@example.com,,10022,False,65.4
540360,22386,JUMBO BAG PINK POLKADOT,12,2011-01-16 14:59:00,1.98,10022,United Kingdom,customer_10022@example.com,,540360,22386,JUMBO BAG PINK POLKADOT,12,2011-01-16 14:59:00,1.98,United Kingdom,customer_10022@example.com,,10022,False,23.759999999999998
540317,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,6,2011-01-16 16:05:00,0.32,10018,France,customer_10018@example.com,,540317,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,6,2011-01-16 16:05:00,0.32,France,customer_10018@example.com,,10018,False,1.92
540317,20725,LUNCH BAG RED RETROSPOT,41,2011-01-16 16:05:00,1.48,10018,France,customer_10018@example.com,2011-07-30,540317,20725,LUNCH BAG RED RETROSPOT,41,2011-01-16 16:05:00,1.48,France,customer_10018@example.com,2011-07-30,10018,False,60.68
540317,22720,SET OF 3 CAKE TINS PANTRY DESIGN,32,2011-01-16 16:05:00,5.2,10018,France,customer_10018@example.com,,540317,22720,SET OF 3 CAKE TINS PANTRY DESIGN,32,2011-01-16 16:05:00,5.2,France,customer_10018@example.com,,10018,False,166.4
540317,22666,RECIPE BOX PANTRY DESIGN,12,2011-01-16 16:05:00,2.66,10018,France,customer_10018@example.com,,540317,22666,RECIPE BOX PANTRY DESIGN,12,2011-01-16 16:05:00,2.66,France,customer_10018@example.com,,10018,False,31.92
540298,22960,JAM MAKING SET WITH JARS,40,2011-01-18 15:40:00,3.83,10016,United Kingdom,customer_10016@example.com,2011-08-30,540298,22960,JAM MAKING SET WITH JARS,40,2011-01-18 15:40:00,3.83,United Kingdom,customer_10016@example.com,2011-08-30,10016,False,153.2
540298,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,26,2011-01-18 15:40:00,0.26,10016,United Kingdom,customer_10016@example.com,,540298,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,26,2011-01-18 15:40:00,0.26,United Kingdom,customer_10016@example.com,,10016,False,6.76
540298,85123A,WHITE HANGING HEART T-LIGHT HOLDER,18,2011-01-18 15:40:00,2.81,10016,United Kingdom,customer_10016@example.com,2011-07-20,540298,85123A,WHITE HANGING HEART T-LIGHT HOLDER,18,2011-01-18 15:40:00,2.81,United Kingdom,customer_10016@example.com,2011-07-20,10016,False,50.58
540298,22961,JAM MAKING SET PRINTED,29,2011-01-18 15:40:00,1.38,10016,United Kingdom,customer_10016@example.com,2011-08-25,540298,22961,JAM MAKING SET PRINTED,29,2011-01-18 15:40:00,1.38,United Kingdom,customer_10016@example.com,2011-08-25,10016,False,40.019999999999996
540112,22722,SET OF 6 SPICE TINS PANTRY DESIGN,37,2011-01-18 15:47:00,4.15,10007,United Kingdom,customer_10007@example.com,2011-09-01,540112,22722,SET OF 6 SPICE TINS PANTRY DESIGN,37,2011-01-18 15:47:00,4.15,United Kingdom,customer_10007@example.com,2011-09-01,10007,False,153.55
540112,22960,JAM MAKING SET WITH JARS,39,2011-01-18 15:47:00,4.25,10007,United Kingdom,customer_10007@example.com,2011-08-30,540112,22960,JAM MAKING SET WITH JARS,39,2011-01-18 15:47:00,4.25,United Kingdom,customer_10007@example.com,2011-08-30,10007,False,165.75
540112,47566,PARTY BUNTING,11,2011-01-18 15:47:00,5.2,10007,United Kingdom,customer_10007@example.com,,540112,47566,PARTY BUNTING,11,2011-01-18 15:47:00,5.2,United Kingdom,customer_10007@example.com,,10007,False,57.2
540112,22720,SET OF 3 CAKE TINS PANTRY DESIGN,11,2011-01-18 15:47:00,4.95,10007,United Kingdom,customer_10007@example.com,,540112,22720,SET OF 3 CAKE TINS PANTRY DESIGN,11,2011-01-18 15:47:00,4.95,United Kingdom,customer_10007@example.com,,10007,False,54.45
540362,84879,ASSORTED COLOUR BIRD ORNAMENT,48,2011-01-18 17:32:00,1.77,10022,United Kingdom,customer_10022@example.com,2011-08-15,540362,84879,ASSORTED COLOUR BIRD ORNAMENT,48,2011-01-18 17:32:00,1.77,United Kingdom,customer_10022@example.com,2011-08-15,10022,False,84.96000000000001
